주성분코드,성분명,제형,id
180103COS,ketotifen fumarate,점안제,4166
180104COS,ketotifen fumarate (as ketotifen 0.25mg),점안제,4167
180105COS,ketotifen fumarate(as ketotifen 0.1mg),점안제,4168
180106COS,ketotifen fumarate(as ketotifen 0.4mg),점안제,4169
180107COS,ketotifen fumarate(as ketotifen 0.125mg),점안제,4170
180108CSI,ketotifen fumarate,분무제 및 흡입제 ,4171
180109COS,ketotifen fumarate(as ketotifen 0.125mg),점안제,4172
180110COS,ketotifen fumarate (as ketotifen),점안제,4173
180130COS,ketotifen fumarate (as ketotifen),점안제,4174
180131COS,ketotifen fumarate (as ketotifen),점안제,4175
180132COS,ketotifen fumarate (as ketotifen),점안제,4176
180133ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4177
180134COS,ketotifen fumarate (as ketotifen),점안제,4178
180136COS,ketotifen fumarate (as ketotifen),점안제,4179
180137COS,ketotifen fumarate (as ketotifen),점안제,4180
180138COS,ketotifen fumarate (as ketotifen),점안제,4181
180139COS,ketotifen fumarate (as ketotifen),점안제,4182
180140ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4183
180141ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4184
180142ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4185
180143ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4186
180144COS,ketotifen fumarate (as ketotifen),점안제,4187
180145COS,ketotifen fumarate (as ketotifen),점안제,4188
180146COS,ketotifen fumarate (as ketotifen),점안제,4189
180147COS,ketotifen fumarate (as ketotifen),점안제,4190
180148COO,ketotifen fumarate (as ketotifen),"안연고제,점안겔제 ",4191
180148COS,ketotifen fumarate (as ketotifen),점안제,4192
180149COS,ketotifen fumarate (as ketotifen),점안제,4193
180150COS,ketotifen fumarate (as ketotifen),점안제,4194
180151ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4195
180161ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4196
180162ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4197
180163ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4198
180164ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4199
180165ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4200
180166ASY,ketotifen fumarate (as ketotifen),"시럽제,건조시럽 ",4201
180201ATB,labetalol HCl,"정제,저작정 ",4202
180201BIJ,labetalol hydrochloride,주사제 ,4203
180202BIJ,labetalol hydrochloride,주사제 ,4204
180203BIJ,labetalol HCl,주사제 ,4205
180230BIJ,labetalol hydrochloride,주사제 ,4206
180231BIJ,labetalol hydrochloride,주사제 ,4207
180301ATB,lacidipine,"정제,저작정 ",4208
180302ATB,lacidipine,"정제,저작정 ",4209
180303ATB,lacidipine,"정제,저작정 ",4210
180401ACH,"lactic acid bacteriae,antibiotics resistant",경질캡슐제 ,4211
180501ACH,lactobacillus acidophillus,경질캡슐제 ,4212
180501AGN,lactobacillus acidophillus,"과립제,세립 ",4213
180501APD,lactobacillus acidophillus,산제 ,4214
180502AGN,lactobacillus acidophillus,"과립제,세립 ",4215
180503ACH,lactobacillus acidophillus,경질캡슐제 ,4216
180503AGN,lactobacillus acidophillus,"과립제,세립 ",4217
180504ACH,lactobacillus acidophillus,경질캡슐제 ,4218
180505ACH,lactobacillus acidophillus,경질캡슐제 ,4219
180506ACH,lactobacillus acidophillus powder,경질캡슐제 ,4220
180530AGN,lactobacillus acidophillus,"과립제,세립 ",4221
180531AGN,lactobacillus acidophillus,"과립제,세립 ",4222
180532AGN,lactobacillus acidophillus,"과립제,세립 ",4223
180533APD,lactobacillus acidophillus,산제 ,4224
180535AGN,lactobacillus acidophillus,"과립제,세립 ",4225
180601ACH,lactobacillus acidophillus tyndalized,경질캡슐제 ,4226
180602APD,lactobacillus acidophillus tyndalized,산제 ,4227
180602ATB,lactobacillus acidophillus tyndalized,"정제,저작정 ",4228
180801ASY,lactulose cone.,"시럽제,건조시럽 ",4229
180802ALQ,lactulose cone.,액제 ,4230
180830ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4231
180831ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4232
180832ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4233
180833ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4234
180834ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4235
180835ASY,lactulose concentrated solution (as lactulose),"시럽제,건조시럽 ",4236
180901ASY,lamivudine,"시럽제,건조시럽 ",4237
180901ATB,lamivudine,"정제,저작정 ",4238
180902ASY,lamivudine,"시럽제,건조시럽 ",4239
180902ATB,lamivudine,"정제,저작정 ",4240
180930ASY,lamivudine,"시럽제,건조시럽 ",4241
181001ATB,lamotrigine,"정제,저작정 ",4242
181002ATB,lamotrigine,"정제,저작정 ",4243
181003ATB,lamotrigine,"정제,저작정 ",4244
181004ATB,lamotrigine,"정제,저작정 ",4245
181005ATB,lamotrigine,"정제,저작정 ",4246
181101COS,anhydrous liquid lanoline,점안제,4247
181201BIJ,lanreotide acetate,주사제 ,4248
181202BIJ,lanreotide acetate,주사제 ,4249
181203BIJ,lanreotide acetate,주사제 ,4250
181204BIJ,lanreotide acetate,주사제 ,4251
181301ACE,lansoprazole,장용캡슐제 ,4252
181301ACH,lansoprazole granule (as lansoprazole),경질캡슐제 ,4253
181301ATB,lansoprazole,"정제,저작정 ",4254
181301ATD,lansoprazole,"확산정, 속붕정, 구강붕해정 ",4255
181301ATE,lansoprazole,장용정제 ,4256
181302ACE,lansoprazole granule (as lansoprazole),장용캡슐제 ,4257
181302ACH,lansoprazole granule (as lansoprazole),경질캡슐제 ,4258
181302ATD,lansoprazole,"확산정, 속붕정, 구강붕해정 ",4259
181302ATE,lansoprazole,장용정제 ,4260
181401BIJ,L-asparaginase,주사제 ,4261
181402BIJ,L-asparaginase,주사제 ,4262
181403BIJ,L-asparaginase(Erwinia),주사제 ,4263
181501COS,latanoprost,점안제,4264
181502COS,latanoprost,점안제,4265
181531COS,latanoprost,점안제,4266
181532COS,latanoprost,점안제,4267
181533COS,latanoprost,점안제,4268
181601APD,lecithin iodide,산제 ,4269
181601ATB,lecithin iodide,"정제,저작정 ",4270
181602APD,lecithin iodide,산제 ,4271
181602ATB,lecithin iodide,"정제,저작정 ",4272
181603ATB,lecithin iodide,"정제,저작정 ",4273
181701ATB,lenampicillin HCl,"정제,저작정 ",4274
181801BIJ,lenograstim,주사제 ,4275
181802BIJ,lenograstim,주사제 ,4276
181803BIJ,lenograstim,주사제 ,4277
181901BIJ,lentinan,주사제 ,4278
182001ATB,lercanidipine hydrochloride,"정제,저작정 ",4279
182002ATB,lercanidipine hydrochloride,"정제,저작정 ",4280
182101ACH,letosteine,경질캡슐제 ,4281
182101AGN,letosteine,"과립제,세립 ",4282
182102ACH,letosteine,경질캡슐제 ,4283
182102ATB,letosteine,"정제,저작정 ",4284
182201ATB,letrozole,"정제,저작정 ",4285
182301ATB,leucocyanidin,"정제,저작정 ",4286
182401ACH,leucomycin,경질캡슐제 ,4287
182401ATB,leucomycin,"정제,저작정 ",4288
182501ATB,calcium folinate (as folinate),"정제,저작정 ",4289
182502BIJ,leucovorin calcium(as leucovorin),주사제 ,4290
182503ATB,calcium folinate (as folinate),"정제,저작정 ",4291
182504ATB,leucovorin calcium(as leucovorin),"정제,저작정 ",4292
182504BIJ,calcium folinate (as folinate),주사제 ,4293
182505BIJ,calcium folinate (as folinate),주사제 ,4294
182506BIJ,calcium folinate (as folinate),주사제 ,4295
182507BIJ,leucovorin calcium(as leucovorin),주사제 ,4296
182508BIJ,leucovorin calcium(as leucovorin),주사제 ,4297
182509BIJ,leucovorin calcium(as leucovorin),주사제 ,4298
182510BIJ,leucovorin calcium(as leucovorin),주사제 ,4299
182511BIJ,leucovorin calcium(as leucovorin),주사제 ,4300
182513ATB,leucovorin calcium,"정제,저작정 ",4301
182514BIJ,leucovorin calcium,주사제 ,4302
182530BIJ,calcium folinate (as folinate),주사제 ,4303
182531BIJ,calcium folinate (as folinate),주사제 ,4304
182532BIJ,calcium folinate (as folinate),주사제 ,4305
182533BIJ,calcium folinate (as folinate),주사제 ,4306
182534BIJ,calcium folinate (as folinate),주사제 ,4307
182535BIJ,calcium folinate (as folinate),주사제 ,4308
182536BIJ,calcium folinate (as folinate),주사제 ,4309
182537BIJ,calcium folinate (as folinate),주사제 ,4310
182538BIJ,calcium folinate (as folinate),주사제 ,4311
182539BIJ,calcium folinate (as folinate),주사제 ,4312
182540BIJ,calcium folinate (as folinate),주사제 ,4313
182541BIJ,calcium folinate (as folinate),주사제 ,4314
182601BIJ,leuprolide acetate,주사제 ,4315
182602BIJ,leuprolide acetate,주사제 ,4316
182603BIJ,leuprolide acetate,주사제 ,4317
182604BIJ,leuprolide acetate,주사제 ,4318
182605BIJ,leuprolide acetate (as leuprolide),주사제 ,4319
182606BIJ,leuprolide acetate (as leuprolide),주사제 ,4320
182607BIJ,leuprolide acetate (as leuprolide),주사제 ,4321
182608BIJ,leuprolide acetate (as leuprolide),주사제 ,4322
182609BIJ,leuprolide acetate (as leuprolide),주사제 ,4323
182610BIJ,leuprolide acetate,주사제 ,4324
182611BIJ,leuprolide acetate,주사제 ,4325
182630BIJ,leuprolide acetate,주사제 ,4326
182701ATB,levamisole hydrochloride,"정제,저작정 ",4327
182801COS,levobunolol HCl,점안제,4328
182830COS,levobunolol hydrochloride,점안제,4329
182901COS,Levo-cabastine(HCl),점안제,4330
182901CSI,Levo-cabastine(HCl),분무제 및 흡입제 ,4331
182930CSI,levocabastine hydrochloride (as levocabastine),분무제 및 흡입제 ,4332
183001ATB,levodopa,"정제,저작정 ",4333
183101ASY,levodropropizine,"시럽제,건조시럽 ",4334
183102ACH,levodropropizine,경질캡슐제 ,4335
183102ATB,levodropropizine,"정제,저작정 ",4336
183103ATR,levodropropizine,서방형정제 ,4337
183130ASY,levodropropizine,"시럽제,건조시럽 ",4338
183131ASY,levodropropizine,"시럽제,건조시럽 ",4339
183132ASY,levodropropizine,"시럽제,건조시럽 ",4340
183133ASY,levodropropizine,"시럽제,건조시럽 ",4341
183134ASY,levodropropizine,"시럽제,건조시럽 ",4342
183135ASY,levodropropizine,"시럽제,건조시럽 ",4343
183136AGN,levodropropizine,"과립제,세립 ",4344
183201ATB,levofloxacin hydrate,"정제,저작정 ",4345
183202ATB,levofloxacin hydrate,"정제,저작정 ",4346
183202BIJ,levofloxacin,주사제 ,4347
183203ATB,levofloxacin hydrate,"정제,저작정 ",4348
183203BIJ,levofloxacin,주사제 ,4349
183204COS,levofloxacin,점안제,4350
183205ATB,levofloxacin hydrate,"정제,저작정 ",4351
183205BIJ,levofloxacin,주사제 ,4352
183206BIJ,levofloxacin,주사제 ,4353
183208COS,levofloxacin,점안제,4354
183209COS,levofloxacin,점안제,4355
183210COS,levofloxacin,점안제,4356
183211COS,levofloxacin,점안제,4357
183230COS,levofloxacin,점안제,4358
183231COS,levofloxacin,점안제,4359
183232COS,levofloxacin,점안제,4360
183233BIJ,levofloxacin,주사제 ,4361
183234BIJ,levofloxacin,주사제 ,4362
183235BIJ,levofloxacin,주사제 ,4363
183236BIJ,levofloxacin,주사제 ,4364
183238COS,levofloxacin,점안제,4365
183239COS,levofloxacin,점안제,4366
183240COS,levofloxacin,점안제,4367
183241COS,levofloxacin,점안제,4368
183242COS,levofloxacin hydrate,점안제,4369
183243COS,levofloxacin,점안제,4370
183244COS,levofloxacin,점안제,4371
183301ATB,levomepromazine maleate (as levomepromazine),"정제,저작정 ",4372
183302ATB,levomepromazine maleate (as levomepromazine),"정제,저작정 ",4373
183303ATB,levomepromazine maleate (as levomepromazine),"정제,저작정 ",4374
183401CIM,levonorgestrel,이식제 및 체내장치 ,4375
183402ATB,levonorgestrel,"정제,저작정 ",4376
183402CIM,levonorgestrel,이식제 및 체내장치 ,4377
183403ATB,levonorgestrel,"정제,저작정 ",4378
183404ATB,Levonorgestrel,"정제,저작정 ",4379
183404CIM,levonorgestrel,이식제 및 체내장치 ,4380
183405ATB,levonorgestrel,"정제,저작정 ",4381
183501ATB,levosulpiride,"정제,저작정 ",4382
183601ATB,levothyroxine sodium,"정제,저작정 ",4383
183602ATB,levothyroxine sodium,"정제,저작정 ",4384
183603ATB,levothyroxine sodium,"정제,저작정 ",4385
183604ATB,levothyroxine sodium,"정제,저작정 ",4386
183605ATB,levothyroxine sodium,"정제,저작정 ",4387
183606ATB,levothyroxine sodium,"정제,저작정 ",4388
183607ATB,levothyroxine sodium,"정제,저작정 ",4389
183608ATB,levothyroxine sodium,"정제,저작정 ",4390
183609ATB,levothyroxine sodium,"정제,저작정 ",4391
183610ATB,levothyroxine sodium,"정제,저작정 ",4392
183611ATB,levothyroxine sodium,"정제,저작정 ",4393
183701ACH,lidamidine hydrochloride,경질캡슐제 ,4394
183701ATB,lidamidine HCl,"정제,저작정 ",4395
183801CSI,lidocaine,분무제 및 흡입제 ,4396
183802CPL,lidocaine,"경고제,첩부제 ",4397
183803BIJ,lidocaine,주사제 ,4398
183804CAE,lidocaine,에어로솔제 ,4399
183804CSI,lidocaine,분무제 및 흡입제 ,4400
183805CCM,lidocaine,"크림제,겔제,젤리 ",4401
183805COM,lidocaine,연고제 ,4402
183806CPC,lidocaine,패취제 ,4403
183806CPL,lidocaine,"경고제,첩부제 ",4404
183806CPO,lidocaine,카타플라스마제 ,4405
183807CCM,lidocaine,"크림제,겔제,젤리 ",4406
183807CSI,lidocaine,분무제 및 흡입제 ,4407
183808CCM,lidocaine,"크림제,겔제,젤리 ",4408
183809BIJ,lidocaine,주사제 ,4409
183810CDS,lidocaine,스폰지 및 드레싱 ,4410
183811CCM,lidocaine,"크림제,겔제,젤리 ",4411
183812CCM,lidocaine,"크림제,겔제,젤리 ",4412
183813CCM,lidocaine,"크림제,겔제,젤리 ",4413
183814CCM,lidocaine,"크림제,겔제,젤리 ",4414
183815CSI,lidocaine,분무제 및 흡입제 ,4415
183816CCM,lidocaine,"크림제,겔제,젤리 ",4416
183817CCM,lidocaine,"크림제,겔제,젤리 ",4417
183818CSI,lidocaine,분무제 및 흡입제 ,4418
183819CCM,lidocaine,"크림제,겔제,젤리 ",4419
183820CCM,lidocaine,"크림제,겔제,젤리 ",4420
183821CCM,lidocaine,"크림제,겔제,젤리 ",4421
183822CCM,lidocaine,"크림제,겔제,젤리 ",4422
183823CCM,lidocaine,"크림제,겔제,젤리 ",4423
183824CCM,lidocaine,"크림제,겔제,젤리 ",4424
183825CCM,lidocaine,"크림제,겔제,젤리 ",4425
183826CCM,lidocaine,"크림제,겔제,젤리 ",4426
183827CCM,lidocaine,"크림제,겔제,젤리 ",4427
183828CCM,lidocaine,"크림제,겔제,젤리 ",4428
183829CCM,lidocaine,"크림제,겔제,젤리 ",4429
183830COM,lidocaine,연고제 ,4430
183831COM,lidocaine,연고제 ,4431
183832COM,lidocaine,연고제 ,4432
183833COM,lidocaine,연고제 ,4433
183834COM,lidocaine,연고제 ,4434
183835COM,lidocaine,연고제 ,4435
183836CCM,lidocaine,"크림제,겔제,젤리 ",4436
183837CCM,lidocaine,"크림제,겔제,젤리 ",4437
183901BIJ,lidocaine hydrochloride,주사제 ,4438
183902BIJ,lidocaine hydrochloride,주사제 ,4439
183902CCM,lidocaine hydrochloride,"크림제,겔제,젤리 ",4440
183902CLQ,lidocaine hydrochloride,액제 ,4441
183903BIJ,lidocaine hydrochloride,주사제 ,4442
183904BIJ,lidocaine hydrochloride,주사제 ,4443
183905BIJ,lidocaine HCl,주사제 ,4444
183906BIJ,lidocaine hydrochloride,주사제 ,4445
183907BIJ,lidocaine hydrochloride,주사제 ,4446
183908BIJ,lidocaine HCl,주사제 ,4447
183909BIJ,lidocaine hydrochloride,주사제 ,4448
183910ATB,lidocaine hydrochloride,"정제,저작정 ",4449
183912BIJ,lidocaine hydrochloride,주사제 ,4450
183913BIJ,lidocaine hydrochloride,주사제 ,4451
183915CLQ,lidocaine hydrochloride,액제 ,4452
183930BIJ,lidocaine hydrochloride,주사제 ,4453
183931BIJ,lidocaine hydrochloride,주사제 ,4454
183932BIJ,lidocaine hydrochloride,주사제 ,4455
183933BIJ,lidocaine hydrochloride,주사제 ,4456
183934CLQ,lidocaine hydrochloride,액제 ,4457
183935BIJ,lidocaine hydrochloride,주사제 ,4458
183936BIJ,lidocaine hydrochloride,주사제 ,4459
183937CLQ,lidocaine hydrochloride,액제 ,4460
183938CLQ,lidocaine hydrochloride,액제 ,4461
183939BIJ,lidocaine hydrochloride,주사제 ,4462
183940BIJ,lidocaine hydrochloride,주사제 ,4463
183940CCM,lidocaine hydrochloride,"크림제,겔제,젤리 ",4464
183941CCM,lidocaine hydrochloride,"크림제,겔제,젤리 ",4465
183942CCM,lidocaine hydrochloride,"크림제,겔제,젤리 ",4466
183943BIJ,lidocaine hydrochloride,주사제 ,4467
183944BIJ,lidocaine hydrochloride,주사제 ,4468
183945BIJ,lidocaine hydrochloride,주사제 ,4469
183946CLQ,lidocaine hydrochloride,액제 ,4470
183947CLQ,lidocaine hydrochloride,액제 ,4471
184101ATB,limaprost α-cyclodextrin (as limaprost),"정제,저작정 ",4472
184201ACH,lincomycin hydrochloride,경질캡슐제 ,4473
184202BIJ,lincomycin hydrochloride,주사제 ,4474
184203ACH,lincomycin hydrochloride,경질캡슐제 ,4475
184204BIJ,lincomycin hydrochloride,주사제 ,4476
184205BIJ,lincomycin hydrochloride,주사제 ,4477
184206BIJ,lincomycin hydrochloride,주사제 ,4478
184230BIJ,lincomycin hydrochloride,주사제 ,4479
184231BIJ,lincomycin hydrochloride,주사제 ,4480
184301CCM,lindane,"크림제,겔제,젤리 ",4481
184301CLQ,lindane,액제 ,4482
184301CLT,lindane,로션제 ,4483
184302CCM,lindane,"크림제,겔제,젤리 ",4484
184330CCM,lindane,"크림제,겔제,젤리 ",4485
184331CCM,lindane,"크림제,겔제,젤리 ",4486
184332CLQ,lindane,액제 ,4487
184332CLT,lindane,로션제 ,4488
184333CCM,lindane,"크림제,겔제,젤리 ",4489
184333CLQ,lindane,액제 ,4490
184333CLT,lindane,로션제 ,4491
184334CLQ,lindane,액제 ,4492
184335CCM,lindane,"크림제,겔제,젤리 ",4493
184336CCM,lindane,"크림제,겔제,젤리 ",4494
184337CCM,lindane,"크림제,겔제,젤리 ",4495
184337CLT,lindane,로션제 ,4496
184401ATB,liothyronine sodium,"정제,저작정 ",4497
184402ATB,liothyronine sodium,"정제,저작정 ",4498
184403ATB,liothyronine sodium,"정제,저작정 ",4499
184501ATB,lisinopril,"정제,저작정 ",4500
184601ATB,lisuride maleate,"정제,저작정 ",4501
184701ATB,lithium carbonate,"정제,저작정 ",4502
184702ATB,lithium carbonate,"정제,저작정 ",4503
184801COS,lodoxamide,점안제,4504
184901ACH,lomefloxacin hydrochloride,경질캡슐제 ,4505
184901ATB,lomefloxacin hydrochloride,"정제,저작정 ",4506
184902CLQ,lomefloxacin HCl,액제 ,4507
184903ATB,lomefloxacin hydrochloride,"정제,저작정 ",4508
184904ATB,lomefloxacin hydrochloride,"정제,저작정 ",4509
184930CLQ,lomefloxacin hydrochloride (as lomefloxacin),액제 ,4510
185001ATB,lonazolac calcium,"정제,저작정 ",4511
185002ATB,lonazolac calcium,"정제,저작정 ",4512
185101ASY,loperamide HCl,"시럽제,건조시럽 ",4513
185102ACH,loperamide hydrochloride,경질캡슐제 ,4514
185102ACS,loperamide hydrochloride,연질캡슐제 ,4515
185102ATB,loperamide hydrochloride,"정제,저작정 ",4516
185201ATB,loperamide oxide,"정제,저작정 ",4517
185301ACH,loracarbef,경질캡슐제 ,4518
185302ASY,loracarbef,"시럽제,건조시럽 ",4519
185330ASY,loracarbef,"시럽제,건조시럽 ",4520
185401ACS,loratadine,연질캡슐제 ,4521
185401ATB,loratadine,"정제,저작정 ",4522
185401ATD,loratadine,"확산정, 속붕정, 구강붕해정 ",4523
185402ASY,loratadine,"시럽제,건조시럽 ",4524
185430ASY,loratadine,"시럽제,건조시럽 ",4525
185431ASY,loratadine,"시럽제,건조시럽 ",4526
185432ASY,loratadine,"시럽제,건조시럽 ",4527
185501ATB,lorazepam,"정제,저작정 ",4528
185502BIJ,lorazepam,주사제 ,4529
185503ATB,lorazepam,"정제,저작정 ",4530
185504ATB,lorazepam,"정제,저작정 ",4531
185505BIJ,lorazepam,주사제 ,4532
185530BIJ,lorazepam,주사제 ,4533
185531BIJ,lorazepam,주사제 ,4534
185601BIJ,ℓ-ornithine oxoglurate,주사제 ,4535
185701ATB,losartan potassium (as losartan),"정제,저작정 ",4536
185702ATB,losartan potassium (as losartan),"정제,저작정 ",4537
185703ATB,losartan potassium (as losartan),"정제,저작정 ",4538
185801ATB,lovastatin,"정제,저작정 ",4539
185901ATB,lovastatine,"정제,저작정 ",4540
186001ACH,loxapine,경질캡슐제 ,4541
186001CSI,loxapine,분무제 및 흡입제 ,4542
186002ACH,loxapine,경질캡슐제 ,4543
186003ACH,loxapine,경질캡슐제 ,4544
186101ATB,loxoprofen sodium hydrate (as loxoprofen sodium),"정제,저작정 ",4545
186101BIJ,loxoprofen sodium,주사제 ,4546
186102ATR,loxoprofen sodium hydrate (as loxoprofen sodium),서방형정제 ,4547
186102CPL,loxoprofen sodium,"경고제,첩부제 ",4548
186102CPO,loxoprofen sodium,카타플라스마제 ,4549
186103CPO,loxoprofen sodium,카타플라스마제 ,4550
186104CPO,loxoprofen sodium,카타플라스마제 ,4551
186105CPL,loxoprofen sodium,"경고제,첩부제 ",4552
186107CPO,loxoprofen sodium,카타플라스마제 ,4553
186108BIJ,loxoprofen sodium hydrate (as loxoprofen sodium),주사제 ,4554
186109CCM,loxoprofen sodium hydrate(as loxoprofen sodium),"크림제,겔제,젤리 ",4555
186201ACH,"lumbricus rubellus,freeze dried",경질캡슐제 ,4556
186301BIJ,lung surfactant,주사제 ,4557
186302BIJ,lung surfactant,주사제 ,4558
186303BIJ,lung surfactant (bovine),주사제 ,4559
186304BIJ,lung surfactant,주사제 ,4560
186305BIJ,lung surfactant,주사제 ,4561
186330BIJ,lung surfactant,주사제 ,4562
186401ATB,lymecycline,"정제,저작정 ",4563
186501ATB,lyophilized thymus,"정제,저작정 ",4564
186601ATB,lyophilized whole porcine pancreas,"정제,저작정 ",4565
186701ACH,standardized lyophilized mixed bacterial lysates 20mg (as lyophilized bacterial lysates),경질캡슐제 ,4566
186702ACH,standardized lyophilized mixed bacterial lysates 40mg (as lyophilized bacterial lysates),경질캡슐제 ,4567
186703ACH,standardized lyophilized bacterial lysates  of E.coli(as lyophilized bacterial lysates  6mg),경질캡슐제 ,4568
186703ATL,standardized lyophilized mixed bacterial lysates (as lyophilized bacterial lysates 7mg),설하정 ,4569
186801ATB,lysozyme chloride,"정제,저작정 ",4570
186802COM,lysozyme chloride,연고제 ,4571
186803ATB,lysozyme chloride,"정제,저작정 ",4572
186804ACH,lysozyme chloride,경질캡슐제 ,4573
186804ATB,lysozyme chloride,"정제,저작정 ",4574
186805ATB,lysozyme chloride,"정제,저작정 ",4575
186806ATB,lysozyme chloride,"정제,저작정 ",4576
186901CCM,mafenide acetate,"크림제,겔제,젤리 ",4577
186901COM,mafenide acetate,연고제 ,4578
186902CPD,mafenide acetate,산제 ,4579
186903CCM,mafenide acetate,"크림제,겔제,젤리 ",4580
186930CCM,mafenide acetate,"크림제,겔제,젤리 ",4581
186931CCM,mafenide acetate,"크림제,겔제,젤리 ",4582
186932CCM,mafenide acetate,"크림제,겔제,젤리 ",4583
186933CCM,mafenide acetate,"크림제,겔제,젤리 ",4584
186934CCM,mafenide acetate,"크림제,겔제,젤리 ",4585
186935CCM,mafenide acetate,"크림제,겔제,젤리 ",4586
186935CPD,mafenide acetate,산제 ,4587
187001ASS,magnesium & calcium alumino silicate,"현탁액제,현탁액용정제,현탁액용산제 ",4588
187101ATB,magnesium aluminum hydroxide mannitol,"정제,저작정 ",4589
187201ASS,magnesium aluminum silicate,"현탁액제,현탁액용정제,현탁액용산제 ",4590
187202AGN,magnesium aluminum silicate,"과립제,세립 ",4591
187203ATB,magnesium aluminum silicate,"정제,저작정 ",4592
187401ATB,magnesium hydroxide,"정제,저작정 ",4593
187402ATB,magnesium hydroxide,"정제,저작정 ",4594
187403ASS,magnesium hydroxide,"현탁액제,현탁액용정제,현탁액용산제 ",4595
187404ASS,magnesium hydroxide,"현탁액제,현탁액용정제,현탁액용산제 ",4596
187501ACH,magnesium oxide,경질캡슐제 ,4597
187501ATB,magnesium oxide,"정제,저작정 ",4598
187502ACH,magnesium oxide,경질캡슐제 ,4599
187502ATB,magnesium oxide,"정제,저작정 ",4600
187601BIJ,magnesium sulfate,주사제 ,4601
187602BIJ,magnesium sulfate,주사제 ,4602
187603BIJ,magnesium sulfate,주사제 ,4603
187604BIJ,magnesium sulfate,주사제 ,4604
187605BIJ,magnesium sulfate,주사제 ,4605
187630BIJ,magnesium sulfate,주사제 ,4606
187631BIJ,magnesium sulfate,주사제 ,4607
187632BIJ,magnesium sulfate,주사제 ,4608
187633BIJ,magnesium sulfate,주사제 ,4609
187701ATB,malotilate,"정제,저작정 ",4610
187702ATB,malotilate,"정제,저작정 ",4611
187801BIJ,maltose(10%),주사제 ,4612
187802BIJ,maltose(10%),주사제 ,4613
187901BIJ,mamushi antivenom equine iyophilized,주사제 ,4614
188001ATB,manidipine hydrochloride,"정제,저작정 ",4615
188002ATB,manidipine hydrochloride,"정제,저작정 ",4616
188003ATB,manidipine hydrochloride,"정제,저작정 ",4617
188101ATB,maprotiline HCl,"정제,저작정 ",4618
188102ATB,maprotiline HCl,"정제,저작정 ",4619
188103ATB,maprotiline HCl,"정제,저작정 ",4620
188104ATB,maprotiline HCl,"정제,저작정 ",4621
188201ATB,mebeverine HCl,"정제,저작정 ",4622
188202ATB,mebeverine hydrochloride,"정제,저작정 ",4623
188301BIJ,mecillinam,주사제 ,4624
188302BIJ,mecillinam,주사제 ,4625
188303BIJ,mecillinam,주사제 ,4626
188401ACH,meclofenamate sodium,경질캡슐제 ,4627
188402ACH,meclofenamate sodium,경질캡슐제 ,4628
188501ATB,meclofenoxate hydrochloride,"정제,저작정 ",4629
188502BIJ,meclofenoxate HCl,주사제 ,4630
188503BIJ,meclofenoxate hydrochloride,주사제 ,4631
188601ACH,mecobalamin,경질캡슐제 ,4632
188602ACH,mecobalamin,경질캡슐제 ,4633
188602ATB,mecobalamin,"정제,저작정 ",4634
188602BIJ,mecobalamin,주사제 ,4635
188603BIJ,mecobalamin,주사제 ,4636
188701ATB,medifoxamine fumarate,"정제,저작정 ",4637
188801BIJ,medronic acid,주사제 ,4638
188802BIJ,medronic acid,주사제 ,4639
188803BIJ,medronic acid,주사제 ,4640
188804BIJ,medronic acid,주사제 ,4641
188805BIJ,medronic acid,주사제 ,4642
188901ATB,medroxyprogesterone acetate,"정제,저작정 ",4643
188902BIJ,medroxyprogesterone acetate,주사제 ,4644
188903ATB,medroxyprogesterone acetate,"정제,저작정 ",4645
188904ATB,medroxyprogesterone acetate,"정제,저작정 ",4646
188905ATB,medroxyprogesterone acetate,"정제,저작정 ",4647
188906ATB,medroxyprogesterone acetate,"정제,저작정 ",4648
188907BIJ,medroxyprogesterone acetate,주사제 ,4649
188930BIJ,medroxyprogesterone acetate,주사제 ,4650
189001ACH,mefenamic acid,경질캡슐제 ,4651
189001ACS,mefenamic acid,연질캡슐제 ,4652
189001ATB,mefenamic acid,"정제,저작정 ",4653
189002ASY,mefenamic acid,"시럽제,건조시럽 ",4654
189003ATB,mefenamic acid,"정제,저작정 ",4655
189101ATB,mefloquine hydrochloride,"정제,저작정 ",4656
